playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
5dKOZbxeHzDhykyAL62AQ9,wedding playlist 2,FALSE,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it.",Here Comes Your Man,Pixies,Doolittle,201186,"['alternative rock', 'boston rock', 'modern rock', 'permanent wave', 'rock']",70
5dKOZbxeHzDhykyAL62AQ9,wedding playlist 2,FALSE,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it.",God Only Knows - Mono / 1997 Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),173040,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",70
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,192533,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Communist Daughter,Neutral Milk Hotel,In the Aeroplane Over the Sea,117306,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Oh Comely,Neutral Milk Hotel,In the Aeroplane Over the Sea,498146,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,186280,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Two-Headed Boy,Neutral Milk Hotel,In the Aeroplane Over the Sea,266106,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,241917,"['chamber pop', 'indie folk', 'stomp and holler']",61
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,Heart It Races - Cover Version,Dr. Dog,Heart It Races,231880,"['indie folk', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'rock', 'stomp and holler']",61
1geFWd3KHXUDPEjFwePiDw,coming of age online,FALSE,we were only 16 - but we were the shit. in progress~,First Day of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",188877,"['chamber pop', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",56
