,playlist_name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
918,Litty,0.0104,https://api.spotify.com/v1/audio-analysis/4AFsRbaLKRWo3dDtjDFA2V,0.545,379227,0.442,4AFsRbaLKRWo3dDtjDFA2V,0.0271,5,0.0664,-12.111,1,0.0352,['tempo'],3,https://api.spotify.com/v1/tracks/4AFsRbaLKRWo3dDtjDFA2V,['type'],spotify:track:4AFsRbaLKRWo3dDtjDFA2V,0.242
919,Litty,0.174,https://api.spotify.com/v1/audio-analysis/0WtDGnWL2KrMCk0mI1Gpwz,0.745,326933,0.353,0WtDGnWL2KrMCk0mI1Gpwz,0.00662,1,0.118,-10.614,1,0.0983,['tempo'],4,https://api.spotify.com/v1/tracks/0WtDGnWL2KrMCk0mI1Gpwz,['type'],spotify:track:0WtDGnWL2KrMCk0mI1Gpwz,0.598
920,Litty,0.00195,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,0.84,261853,0.56,6m59VvDUi0UQsB2eZ9wVbH,0.00417,6,0.633,-10.53,0,0.21,['tempo'],4,https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH,['type'],spotify:track:6m59VvDUi0UQsB2eZ9wVbH,0.775
921,Litty,0.0561,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,0.853,227600,0.606,3WkibOpDF7cQ5xntM1epyf,0.0,0,0.313,-4.596,1,0.0713,['tempo'],4,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,['type'],spotify:track:3WkibOpDF7cQ5xntM1epyf,0.654
922,Litty,0.033,https://api.spotify.com/v1/audio-analysis/2S2x5N5VJNn7vqYukvoFFC,0.762,287547,0.838,2S2x5N5VJNn7vqYukvoFFC,0.0,8,0.0623,-3.701,1,0.0963,['tempo'],4,https://api.spotify.com/v1/tracks/2S2x5N5VJNn7vqYukvoFFC,['type'],spotify:track:2S2x5N5VJNn7vqYukvoFFC,0.73
923,Litty,0.173,https://api.spotify.com/v1/audio-analysis/3Ti0GdlrotgwsAVBBugv0I,0.848,251573,0.666,3Ti0GdlrotgwsAVBBugv0I,0.000699,0,0.129,-6.547,1,0.274,['tempo'],4,https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I,['type'],spotify:track:3Ti0GdlrotgwsAVBBugv0I,0.744
924,Litty,0.00186,https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G,0.749,251733,0.605,6mz1fBdKATx6qP4oP1I65G,0.0381,8,0.115,-9.359,0,0.086,['tempo'],4,https://api.spotify.com/v1/tracks/6mz1fBdKATx6qP4oP1I65G,['type'],spotify:track:6mz1fBdKATx6qP4oP1I65G,0.966
925,Litty,0.439,https://api.spotify.com/v1/audio-analysis/1ulVKX61ePVrT81RLFqrOj,0.748,251427,0.372,1ulVKX61ePVrT81RLFqrOj,0.0,7,0.366,-7.577,1,0.173,['tempo'],4,https://api.spotify.com/v1/tracks/1ulVKX61ePVrT81RLFqrOj,['type'],spotify:track:1ulVKX61ePVrT81RLFqrOj,0.547
926,Litty,0.0915,https://api.spotify.com/v1/audio-analysis/0Pu71wxadDlB8fJXfjIjeJ,0.939,248573,0.675,0Pu71wxadDlB8fJXfjIjeJ,0.0,0,0.0565,-7.232,1,0.211,['tempo'],4,https://api.spotify.com/v1/tracks/0Pu71wxadDlB8fJXfjIjeJ,['type'],spotify:track:0Pu71wxadDlB8fJXfjIjeJ,0.795
927,Litty,0.0293,https://api.spotify.com/v1/audio-analysis/4cA6e3U7mtJfAOq3dWNAUZ,0.556,219596,0.723,4cA6e3U7mtJfAOq3dWNAUZ,0.0,0,0.13,-5.338,1,0.149,['tempo'],4,https://api.spotify.com/v1/tracks/4cA6e3U7mtJfAOq3dWNAUZ,['type'],spotify:track:4cA6e3U7mtJfAOq3dWNAUZ,0.555
928,Litty,0.000282,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.908,177000,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1,0.0958,-6.638,0,0.102,['tempo'],4,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,['type'],spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421
929,Litty,0.713,https://api.spotify.com/v1/audio-analysis/7CRPXJt3IVC7V0VcM0PSQi,0.637,208000,0.503,7CRPXJt3IVC7V0VcM0PSQi,0.000113,1,0.109,-6.927,1,0.336,['tempo'],4,https://api.spotify.com/v1/tracks/7CRPXJt3IVC7V0VcM0PSQi,['type'],spotify:track:7CRPXJt3IVC7V0VcM0PSQi,0.661
930,Litty,0.151,https://api.spotify.com/v1/audio-analysis/4pdLZsxq0y5oJDb6Cxlokw,0.729,259307,0.442,4pdLZsxq0y5oJDb6Cxlokw,0.0,11,0.189,-8.106,0,0.285,['tempo'],4,https://api.spotify.com/v1/tracks/4pdLZsxq0y5oJDb6Cxlokw,['type'],spotify:track:4pdLZsxq0y5oJDb6Cxlokw,0.757
931,Litty,0.701,https://api.spotify.com/v1/audio-analysis/1Q0lOGB52skgfzdcq233vs,0.539,350533,0.363,1Q0lOGB52skgfzdcq233vs,3.18e-06,10,0.14,-13.888,0,0.166,['tempo'],4,https://api.spotify.com/v1/tracks/1Q0lOGB52skgfzdcq233vs,['type'],spotify:track:1Q0lOGB52skgfzdcq233vs,0.549
932,Litty,0.47,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,0.889,302760,0.818,5ByAIlEEnxYdvpnezg7HTX,0.0,9,0.179,-4.639,1,0.253,['tempo'],4,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,['type'],spotify:track:5ByAIlEEnxYdvpnezg7HTX,0.782
933,"through the deep, dark valley",0.269,https://api.spotify.com/v1/audio-analysis/6JjhA3daw1LazyfyTWqQJz,0.654,182780,0.338,6JjhA3daw1LazyfyTWqQJz,0.573,2,0.13,-12.934,1,0.0267,['tempo'],4,https://api.spotify.com/v1/tracks/6JjhA3daw1LazyfyTWqQJz,['type'],spotify:track:6JjhA3daw1LazyfyTWqQJz,0.609
934,"through the deep, dark valley",0.49,https://api.spotify.com/v1/audio-analysis/70CPcfYC8ug5UMBmjah6x9,0.257,245778,0.331,70CPcfYC8ug5UMBmjah6x9,0.00721,1,0.349,-12.47,0,0.0347,['tempo'],4,https://api.spotify.com/v1/tracks/70CPcfYC8ug5UMBmjah6x9,['type'],spotify:track:70CPcfYC8ug5UMBmjah6x9,0.0383
