,playlist_name,track_name,album_name,popularity,release_date,duration
162,,Call Me When You Get This,Corinne Bailey Rae,39,2006-01-01,304866
163,,Torn Screen Door,Torn Screen Door,0,1999,98000
164,,Ready For Love,Acoustic Soul,0,2001-01-01,268800
165,,Let it Lie,Let It Lie (Deluxe),0,2015-01-27,243986
166,,Now At Last,Let It Die,0,2004-05-25,195680
167,,Self,Room 25,26,2018-09-14,94932
168,,Strength Courage & Wisdom,Acoustic Soul,0,2001-01-01,297800
169,,Motivation,Motivation,69,2019-08-16,193837
170,,No Other Love,No Other Love,39,2002-06-18,233706
171,,Poses,Poses (Expanded Edition),30,2001,302533
172,,The Story Of An Artist,The Late Great Daniel Johnston: Discovered Covered,0,2004,260160
173,,MONOPOLY (with Victoria Monét),MONOPOLY,62,2019-04-01,158586
174,,Home,The Nameless Ranger,0,2015-10-30,272794
175,,World Spins Madly On,Say I Am You,0,2006,165133
176,,Yellow Eyes,Imaginary Man,47,2015-08-14,230786
177,,Feel The Need,Feel The Need,0,2018-09-14,229952
178,,To Beat The Devil,The Essential Kris Kristofferson,36,2004-02-15,282640
179,,Take Care,Alone at Last,0,2018-10-26,97114
180,currents,Hypotheticals,Obviously,58,2021-03-12,230178
181,currents,Bring it on Home to Me (feat. Charlie Bereal),Bring it on Home to Me (feat. Charlie Bereal),52,2021-04-23,201600
182,currents,Nine in the Afternoon - Single Mix,Pretty. Odd.,62,2008-03-21,191560
183,currents,Grows Old,Cold Heart,51,2018-03-09,236293
184,currents,Anything For You,Prepare The Preparations,42,2010-01-01,203386
185,currents,Let's Get Married,Gone Now,55,2017-06-02,186053
186,currents,Julia,Leave What's Lost Behind,43,2020-01-24,205413
187,currents,Holy,HEAVN,0,2017-08-15,192400
188,currents,For Island Fires and Family,Dermot Kennedy,54,2019-01-04,285644
189,currents,You're Too Precious,You're Too Precious,51,2020-04-24,223900
190,wedding playlist,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866
191,wedding playlist,Happy Together,Weezer (Teal Album),49,2019-01-24,145640
192,a love letter to little me,"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,56,2006-01-01,183293
193,a love letter to little me,Life's What You Make It,Hannah Montana 2 (Original Soundtrack),45,2007-06-26,188466
194,a love letter to little me,One In a Million,Hannah Montana 2 (Original Soundtrack),52,2007-06-26,235400
195,a love letter to little me,He Could Be the One,Hannah Montana 3,66,2009-01-01,180800
196,a love letter to little me,Ready or Not,Hello My Name Is...,71,2012-01-01,200946
197,a love letter to little me,Hey There Delilah,All That We Needed,79,2005-01-01,232533
198,a love letter to little me,Who Says,When The Sun Goes Down,75,2011-01-01,195613
199,a love letter to little me,Potential Breakup Song,Insomniatic,67,2007-01-01,219773
200,a love letter to little me,So Yesterday,Metamorphosis,57,2003-01-01,215333
201,a love letter to little me,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866
202,a love letter to little me,Stick to the Status Quo,High School Musical,56,2006-01-01,268413
203,a love letter to little me,Beautiful Soul,Beautiful Soul,71,2004-01-01,214226
204,a love letter to little me,Do You Believe In Magic,Into The Rush,44,2005-01-01,134066
205,a love letter to little me,Our Song,Taylor Swift,71,2006-10-24,201106
206,a love letter to little me,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,63,2006-01-01,174120
207,a love letter to little me,Walking On Sunshine,Into The Rush,49,2005-01-01,233733
208,a love letter to little me,Don't Go Breakin' My Heart - Original Version,Ella Enchanted,42,2004-01-01,190066
209,a love letter to little me,Picture To Burn,Taylor Swift,67,2006-10-24,173066
210,a love letter to little me,Mandy,It's About Time,28,2006-08-08,168480
211,a love letter to little me,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,66,2006-10-24,203040
212,a love letter to little me,If That's Not Love,The Naked Brothers Band,38,2007-10-09,134146
213,a love letter to little me,Long Distance,The Naked Brothers Band,25,2007-10-09,240693
214,a love letter to little me,Thinking Of You,One Of The Boys,13,2008-06-17,246410
215,a love letter to little me,Big Girls Don't Cry (Personal),The Dutchess,9,2006-09-13,268120
216,a love letter to little me,I'm Only Me When I'm With You,Taylor Swift,57,2006-10-24,213053
217,a love letter to little me,7 Things - Single Version,Breakout,62,2008-01-01,213453
218,a love letter to little me,If We Were A Movie,Hannah Montana 3,49,2009-01-01,184360
219,a love letter to little me,Burnin' Up,A Little Bit Longer,68,2008-08-12,175093
220,a love letter to little me,Lovebug,A Little Bit Longer,62,2008-08-12,220693
221,You are safe,Ooh Child,Ooh Child,29,2017-11-01,163844
222,You are safe,All to Me,Spectrum,19,2018-02-09,446240
223,You are safe,Uneven Odds,Atlas: I,41,2014-07-08,341049
224,You are safe,Life,Atlas: II,42,2019-11-01,270321
225,You are safe,Daughter,Atlas: II,40,2019-11-01,244708
226,You are safe,Sight,Atlas: II,34,2019-11-01,249555
227,You are safe,Joy,Atlas: II,32,2019-11-01,193725
228,You are safe,Here Comes The Sun,Live At The Cellar Door and at the Santa Monica Civic Auditorium,58,1972,254000
229,ATL w/Melissa,Kick It to Me,The Good Life,0,2018-07-10,387600
230,ATL w/Melissa,"Hey Stupid, I Love You","Hey Stupid, I Love You",64,2020-06-25,181000
231,ATL w/Melissa,Hypotheticals,Obviously,58,2021-03-12,230178
