playlist_name,track_name,album_name,popularity,release_date,duration
coming of age online,The Blower's Daughter,O,52,2003-06-03,286653
coming of age online,Sleeping Ute,Shields,38,2012-09-17,275317
coming of age online,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead,79,1986-06-16,244586
coming of age online,Fidelity,Begin to Hope (Special Edition),50,2006-06-13,226680
coming of age online,Re: Stacks,"For Emma, Forever Ago",0,2008-02-19,401413
coming of age online,Sea of Love,The Covers Record,62,2000-03-21,139466
coming of age online,The District Sleeps Alone Tonight - Remastered,Give Up (Deluxe 10th Anniversary Edition),53,2003-02-19,283746
coming of age online,I Will Follow You into the Dark,Plans,65,2005-08-29,189186
coming of age online,Transatlanticism,Transatlanticism (10th Anniversary Edition),55,1905-06-25,475093
coming of age online,What Sarah Said,Plans,44,2005-08-29,380866
coming of age online,Such Great Heights,Give Up,50,2003-02-19,266346
coming of age online,A Movie Script Ending,The Photo Album,42,2001-10-09,259480
coming of age online,Dear Avery,The King Is Dead,30,2011-01-18,291925
coming of age online,You're a Wolf,Leaves in the River,52,2007-09-25,215560
coming of age online,Middle Distance Runner,Leaves in the River,40,2007-09-25,207666
coming of age online,The Garden That You Planted,Get to the River Before It Runs Too Low,32,2007-05-08,241773
coming of age online,Land Locked Blues,"I'm Wide Awake, It's Morning",45,2005-01-25,347933
coming of age online,Lisztomania,Wolfgang Amadeus Phoenix,47,2009-05-25,241640
coming of age online,40 Day Dream - 2019 - Remaster,Up From Below (10th Anniversary Edition) [2019 - Remaster],55,2009-07-07,232690
coming of age online,Oxford Comma,Vampire Weekend,0,2008-01-29,195733
coming of age online,Cape Cod Kwassa Kwassa,Vampire Weekend,50,2008-01-29,214706
coming of age online,The Kids Don't Stand a Chance,Vampire Weekend,45,2008-01-29,243000
coming of age online,Diplomat's Son,Contra,44,2010-01-12,361373
coming of age online,Young Lion,Modern Vampires of the City,37,2013-05-13,105360
coming of age online,Hannah Hunt,Modern Vampires of the City,53,2013-05-13,237973
coming of age online,Unbelievers,Modern Vampires of the City,59,2013-05-13,202666
coming of age online,Mykonos,First Collection 2006-2009,63,2018-11-09,275306
coming of age online,Oliver James,Fleet Foxes,43,2008-06-03,203866
to lay on the floor,Eloise,Finch,60,2019-08-02,168712
to lay on the floor,La Lune,Writing of Blues and Yellows (Deluxe Version),61,2016-09-23,187266
to lay on the floor,Mice,Feeding Seahorses by Hand,52,2019-04-26,244260
dance,Criminal,Criminal,75,2017-09-01,232549
dance,Lova Lova (feat. Duncan Mighty),Lova Lova (feat. Duncan Mighty),41,2018-08-02,218253
dance,Countdown,4,62,2011-06-24,212146
dance,"thank u, next","thank u, next",22,2018-11-03,207333
dance,Chunky,24K Magic,69,2016-11-17,186973
dance,Leave The Door Open,An Evening With Silk Sonic,83,2021-11-11,242096
dance,Summer on You,Summer on You,59,2018-06-21,205791
dance,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",59,2020-09-04,255180
dance,No Drama,No Drama,11,2020-03-13,176253
dance,Angel Baby,Angel Baby,80,2021-09-09,220779
dance,Meet Me At Our Spot,THE ANXIETY,79,2020-03-13,162680
dance,Waffle House,Black Like This,28,2020-11-13,204806
dance,Sneaky Link,Nobody Knows,39,2021-07-14,222337
dance,No R&B (feat. Ann Marie),Public Displays Of Affection,41,2021-11-19,214263
dance,Have Mercy,Have Mercy,72,2021-09-10,148778
dance,NASA,"thank u, next",65,2019-02-08,182000
dance,Berna,Flavour of Africa,45,2020-12-04,238576
dance,No Copia,No Copia,47,2020-06-04,175338
dance,Favorito,Favorito,66,2020-03-26,211613
dance,Girlfriend,Girlfriend,61,2020-06-23,177438
dance,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),73,2018-06-08,164640
dance,Safaera,YHLQMDLG,79,2020-02-29,295176
dance,Yo Perreo Sola,YHLQMDLG,78,2020-02-29,172127
dance,Callaita,Callaita,79,2019-05-31,250533
dance,Arcoíris,Colores,54,2020-03-19,186693
dance,Find Someone Like You,#NAME?,44,2019-08-16,206465
dance,Still Not Falling,Timeshare,0,2013-10-29,251640
dance,Felices los 4,Felices los 4,1,2017-04-21,229848
dance,Julia,Leave What's Lost Behind,43,2020-01-24,205413
dance,To Noise Making (Sing),"Wasteland, Baby!",51,2019-03-01,206920
dance,Do Whatcha Wanna,25th Anniversary,35,2008-01-01,192680
dance,Wraith Pinned to the Mist and Other Games,The Sunlandic Twins,54,2005-04-12,255613
dance,Holy Ghost,Cocoa Sugar,36,2018-03-09,152654
dance,Young Americans - Original Single Edit,Legacy (Deluxe Edition),21,2016-11-11,193693
dance,I Fought the Law,Hits Back,58,2013-08-26,163240
dance,Katchua,Katchua,55,2018-10-24,229433
dance,Suzanna,Midnight Train,42,2020-06-05,230787
dance,Djadja,NAKAMURA,69,2018-11-02,171133
dance,Don't Pull Your Love,Greatest Hits,38,1994-11-22,162026
dance,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),69,1990-04-17,251573
dance,Liballa,Liballa,44,2018-05-18,288574
dance,Jenevah,H E L I O S.,45,2018-07-27,260000
dance,La métisse,Zulu,26,2013-09-13,231253
dance,Jowo,A Better Time,58,2020-11-12,176470
dance,Nobody,Nobody,49,2020-03-06,145860
dance,Definition,Mos Def & Talib Kweli Are Black Star,58,1998-09-29,206493
dance,Sunday Candy,Surf,63,2015-06-30,226013
dance,The Light,Go! Common Classics,52,2010-05-11,243586
dance,Hypnotize,Life After Death (Deluxe Version),0,1997-03-04,230053
dance,11-Jul,BEYONCÉ [Platinum Edition],68,2014-11-24,213506
currents,Hypotheticals,Obviously,58,2021-03-12,230178
currents,Bring it on Home to Me (feat. Charlie Bereal),Bring it on Home to Me (feat. Charlie Bereal),52,2021-04-23,201600
currents,Nine in the Afternoon - Single Mix,Pretty. Odd.,62,2008-03-21,191560
currents,Grows Old,Cold Heart,51,2018-03-09,236293
currents,Anything For You,Prepare The Preparations,42,2010-01-01,203386
currents,Let's Get Married,Gone Now,55,2017-06-02,186053
currents,Julia,Leave What's Lost Behind,43,2020-01-24,205413
currents,Holy,HEAVN,0,2017-08-15,192400
currents,For Island Fires and Family,Dermot Kennedy,54,2019-01-04,285644
currents,You're Too Precious,You're Too Precious,51,2020-04-24,223900
wedding playlist,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866
wedding playlist,Happy Together,Weezer (Teal Album),49,2019-01-24,145640
a love letter to little me,"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,56,2006-01-01,183293
a love letter to little me,Life's What You Make It,Hannah Montana 2 (Original Soundtrack),45,2007-06-26,188466
a love letter to little me,One In a Million,Hannah Montana 2 (Original Soundtrack),52,2007-06-26,235400
a love letter to little me,He Could Be the One,Hannah Montana 3,66,2009-01-01,180800
a love letter to little me,Ready or Not,Hello My Name Is...,71,2012-01-01,200946
a love letter to little me,Hey There Delilah,All That We Needed,79,2005-01-01,232533
a love letter to little me,Who Says,When The Sun Goes Down,75,2011-01-01,195613
a love letter to little me,Potential Breakup Song,Insomniatic,67,2007-01-01,219773
a love letter to little me,So Yesterday,Metamorphosis,57,2003-01-01,215333
a love letter to little me,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003-01-01,186866
a love letter to little me,Stick to the Status Quo,High School Musical,56,2006-01-01,268413
a love letter to little me,Beautiful Soul,Beautiful Soul,71,2004-01-01,214226
a love letter to little me,Do You Believe In Magic,Into The Rush,44,2005-01-01,134066
a love letter to little me,Our Song,Taylor Swift,71,2006-10-24,201106
a love letter to little me,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,63,2006-01-01,174120
a love letter to little me,Walking On Sunshine,Into The Rush,49,2005-01-01,233733
a love letter to little me,Don't Go Breakin' My Heart - Original Version,Ella Enchanted,42,2004-01-01,190066
a love letter to little me,Picture To Burn,Taylor Swift,67,2006-10-24,173066
a love letter to little me,Mandy,It's About Time,28,2006-08-08,168480
a love letter to little me,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,66,2006-10-24,203040
a love letter to little me,If That's Not Love,The Naked Brothers Band,38,2007-10-09,134146
a love letter to little me,Long Distance,The Naked Brothers Band,25,2007-10-09,240693
a love letter to little me,Thinking Of You,One Of The Boys,13,2008-06-17,246410
a love letter to little me,Big Girls Don't Cry (Personal),The Dutchess,9,2006-09-13,268120
a love letter to little me,I'm Only Me When I'm With You,Taylor Swift,57,2006-10-24,213053
a love letter to little me,7 Things - Single Version,Breakout,62,2008-01-01,213453
a love letter to little me,If We Were A Movie,Hannah Montana 3,49,2009-01-01,184360
a love letter to little me,Burnin' Up,A Little Bit Longer,68,2008-08-12,175093
a love letter to little me,Lovebug,A Little Bit Longer,62,2008-08-12,220693
You are safe,Ooh Child,Ooh Child,29,2017-11-01,163844
You are safe,All to Me,Spectrum,19,2018-02-09,446240
You are safe,Uneven Odds,Atlas: I,41,2014-07-08,341049
You are safe,Life,Atlas: II,42,2019-11-01,270321
You are safe,Daughter,Atlas: II,40,2019-11-01,244708
You are safe,Sight,Atlas: II,34,2019-11-01,249555
You are safe,Joy,Atlas: II,32,2019-11-01,193725
You are safe,Here Comes The Sun,Live At The Cellar Door and at the Santa Monica Civic Auditorium,58,1905-05-25,254000
ATL w/Melissa,Kick It to Me,The Good Life,0,2018-07-10,387600
ATL w/Melissa,"Hey Stupid, I Love You","Hey Stupid, I Love You",64,2020-06-25,181000
ATL w/Melissa,Hypotheticals,Obviously,58,2021-03-12,230178
ATL w/Melissa,the author,the author,61,2020-09-18,217213
ATL w/Melissa,You're Too Precious,You're Too Precious,51,2020-04-24,223900
ATL w/Melissa,Breakfast In Bed,1-800-HIT-EAZY,37,2021-02-12,180937
ATL w/Melissa,Hocus Pocus,Year One,39,2018-05-11,218363
ATL w/Melissa,Over (When We Said Goodbye),Cold Heart,45,2018-03-09,210586
ATL w/Melissa,Good Kisser,Free Yourself Up,60,2018-05-04,218493
ATL w/Melissa,Colors,Black Pumas,0,2019-06-21,246586
ATL w/Melissa,Better Days,Better Days,44,2020-12-03,198600
To listen to 8/2,Don't Lose Sight,Hotel TV,56,2021-07-23,208066
To listen to 8/2,Hotel TV,Hotel TV,37,2021-07-23,217160
To listen to 8/2,Jet Lag,Hotel TV,34,2021-07-23,226106
To listen to 8/2,Casualty,Hotel TV,48,2021-07-23,143893
To listen to 8/2,Freckles,Hotel TV,43,2021-07-23,189413
To listen to 8/2,Thoughts From the ER (Silver Lining),Hotel TV,32,2021-07-23,262373
To listen to 8/2,It's Not All About You,Hotel TV,47,2021-07-23,151320
To listen to 8/2,Don't Move,Hotel TV,31,2021-07-23,180906
To listen to 8/2,It's Gonna Be Me (feat. Brasstracks),Hotel TV,39,2021-07-23,203653
To listen to 8/2,The Weather,Hotel TV,44,2021-07-23,169093
To listen to 8/2,False Alarms (with Jon Bellion),Hotel TV,48,2021-07-23,240133
To listen to 8/2,Figure It Out (A Song Between Siblings),Hotel TV,31,2021-07-23,248293
To listen to 8/2,Stupid Deep,Glory Sound Prep,58,2018-11-09,178176
To listen to 8/2,False Alarms (with Jon Bellion),False Alarms (with Jon Bellion),39,2021-07-22,240133
To listen to 8/2,Hand Of God - Outro,The Human Condition,50,2016-06-10,337551
To listen to 8/2,JT,Glory Sound Prep,47,2018-11-09,268466
To listen to 8/2,Couples Retreat,Glory Sound Prep,42,2018-11-09,208697
To listen to 8/2,Pre-Occupied,The Definition,41,2014-09-23,267794
To listen to 8/2,Human,The Definition,47,2014-09-23,205268
To listen to 8/2,Simple & Sweet,The Definition,49,2014-09-23,171868
To listen to 8/2,Ooh,The Definition,47,2014-09-23,219227
To listen to 8/2,Luxury,The Definition,49,2014-09-23,243458
To listen to 8/2,Dead Man Walking,Translations Through Speakers,50,2013-02-20,196840
for dancing,Trouble,Me and My Uke,56,2009-11-03,145906
for dancing,Stacy's Mom,Welcome Interstate Managers,74,2003-01-01,197986
for dancing,Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,67,2000-05-16,189333
for dancing,Ohio (Come Back To Texas),A Hangover You Don't Deserve,53,1905-06-26,230560
for dancing,High School Never Ends - Main Version - Explicit,The Great Burrito Extortion Case,62,1905-06-28,209040
for dancing,She's A Lady,Underdog Alma Mater,52,2008-01-01,240040
for dancing,1985,A Hangover You Don't Deserve,70,1905-06-26,193000
for dancing,Dirty Little Secret,Move Along,70,2005-01-01,193653
for dancing,Gives You Hell,When The World Comes Down,70,2008-01-01,213106
for dancing,Story of a Girl,The 90s Rocked My Heart,40,2015-12-11,187218
for dancing,"Sugar, We're Goin Down",From Under The Cork Tree,77,2005-05-03,229093
for dancing,Move Along,Move Along,67,2005-01-01,238880
for dancing,I Melt With You,Goes to the Movies (Expanded Edition),42,2005-11-15,241440
for dancing,"Dear Maria, Count Me In","So Wrong, It's Right",76,2007-09-25,182826
for dancing,Sk8er Boi,Let Go,76,2002-06-04,204000
for dancing,All The Small Things,Enema Of The State,81,1999-06-01,167066
for dancing,In Too Deep,"All Killer, No Filler",74,2001-01-01,207093
for dancing,Mr. Brightside,Hot Fuss,85,1905-06-26,222973
for dancing,Jane Doe,What Is Love?,37,1905-07-02,115146
for dancing,piggy bank,Harmony,27,2010-08-23,94200
for dancing,first dance,Harmony,40,2010-08-23,129773
for dancing,trampoline,Harmony,32,2010-08-23,144840
for dancing,sweet perfection,Harmony,35,2010-08-23,109053
for dancing,Hummingbird,The Summer EP,33,2009-06-19,185173
for dancing,Can't Stand It,What Is Love?,45,1905-07-02,170560
for dancing,Kiss Me Slowly,The Way It Was,59,2011-01-01,235813
for dancing,Two Is Better Than One (feat. Taylor Swift),Love Drunk,66,2009-09-07,242840
for dancing,Say You Like Me,Sunshine State of Mind,53,2011-07-12,210645
for dancing,Love Like Woe,"I'm Alive, I'm Dreaming (Deluxe)",54,2010-06-14,200453
for dancing,Thnks fr th Mmrs,Infinity On High,77,2007-01-01,203506
for dancing,It Ends Tonight,Move Along,59,2005-01-01,244826
for dancing,Hero / Heroine - Tom Lord-Alge Mix,Boys Like Girls,48,1905-06-28,232240
for dancing,That's What You Get,Riot!,69,2007-06-11,220480
for dancing,Goodnight Moon,Do Overs And Second Chances,52,2010-01-01,306186
for dancing,Rhythm Of Love,Wonders Of The Younger,61,2010-01-01,200200
for dancing,Everywhere,The Spirit Room,65,2001-07-31,214826
for dancing,Breathe,Hotel Paper,56,2003-06-24,211773
for dancing,Are You Happy Now?,Hotel Paper (Deluxe Edition),32,2003-06-24,230760
for dancing,Over My Head (Cable Car),How To Save A Life,69,2005-09-13,236266
for dancing,Do It 2 Me,All the Way,43,2011-09-27,200053
for dancing,Mr Wonderful,All the Way,33,2011-09-27,200093
for dancing,When You Were Young,Sam's Town,76,2006-09-27,220426
for dancing,Human,Day & Age (Bonus Tracks),74,2008-11-18,245373
for dancing,Sam's Town,Sam's Town,54,2006-09-27,246026
doin' the naughty,Do I Wanna Know?,AM,87,2013-09-09,272394
doin' the naughty,American Daydream,Mondo,47,2012-01-01,168626
doin' the naughty,Retrograde,Overgrown,63,2013-04-08,223600
doin' the naughty,Wicked Games,Trilogy,74,2012-11-13,323746
doin' the naughty,505,Favourite Worst Nightmare (Standard Version),81,2007-04-24,253586
doin' the naughty,Sex And Candy,"Lunch, Recess & Detention",56,2012-01-01,172486
doin' the naughty,The Only Moment We Were Alone,The Earth Is Not a Cold Dead Place,0,2003-11-04,614200
doin' the naughty,Man,good to know,40,2020-05-01,173760
doin' the naughty,Breakfast In Bed,1-800-HIT-EAZY,37,2021-02-12,180937
"dont worry, you're doing just fine",Prologue,Dear,22,1905-07-02,79413
"dont worry, you're doing just fine",Anchor,Anchor,39,2010-08-10,193746
"dont worry, you're doing just fine",Patient Love - Acoustic,All the Little Lights (Deluxe Version),0,2013-02-17,199106
"dont worry, you're doing just fine",Honey Come Home,The Head and the Heart,0,2011-01-11,201293
"dont worry, you're doing just fine",Seaside,Inside In / Inside Out,48,2006-01-01,99226
"dont worry, you're doing just fine",Kill Monsters In The Rain,Trampoline,0,2007-01-01,237933
"dont worry, you're doing just fine",To Take You Home,Love Ire & Song,24,2009-05-18,229133
"dont worry, you're doing just fine",The Freshmen,Villains,61,1996-03-25,269466
"dont worry, you're doing just fine",What's Your Name,Mélange,0,2020-06-26,273453
"dont worry, you're doing just fine",I Was Made For Sunny Days,Be My Thrill (Deluxe),0,1905-07-02,193506
"dont worry, you're doing just fine",I Got,Young The Giant (Special Edition),42,1905-07-03,259773
"dont worry, you're doing just fine",Good As New,Gone,45,2012-03-20,204031
"dont worry, you're doing just fine",I Need A Life,"Red, Yellow & Blue",30,1905-06-30,206626
sing me to sleep,Can't Go Back Now,Hideaway,0,1905-06-30,137880
sing me to sleep,nothing,It's Got Four Sad Songs on It BTW,13,2012-05-25,221146
sing me to sleep,"Keep It Loose, Keep It Tight",Amos Lee,57,2005-01-01,188080
sing me to sleep,Sleeping Sickness,Sleeping Sickness,20,2008-05-27,250000
sing me to sleep,What Sarah Said,Plans,44,2005-08-29,380866
sing me to sleep,Yesterday - Remastered 2009,Help! (Remastered),76,1965-08-06,125666
sing me to sleep,You Are My Sunshine,Unearthed,56,2003-01-01,196733
sing me to sleep,Asleep - 2008 Remaster,The Sound of the Smiths (Deluxe; 2008 Remaster),43,2008-11-11,250280
Re-education: Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,69,1965-08-30,369600
Re-education: Bob Dylan,Tomorrow Is a Long Time - Witmark Demo - 1962,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),38,1963-01-04,224853
Re-education: Bob Dylan,Things Have Changed - Single Version,Side Tracks,0,2016-11-25,307800
Re-education: Bob Dylan,Jokerman,Infidels,48,1983-11-01,376160
Re-education: Bob Dylan,Knockin' On Heaven's Door,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),73,1973-07-13,149880
Re-education: Bob Dylan,Talkin' New York,Bob Dylan,33,1962-03-19,197653
Re-education: Bob Dylan,"It Takes a Lot to Laugh, It Takes a Train to Cry",Highway 61 Revisited,41,1965-08-30,245133
Re-education: Bob Dylan,Queen Jane Approximately,Highway 61 Revisited,43,1965-08-30,327466
Re-education: Bob Dylan,Highway 61 Revisited,Highway 61 Revisited,42,1965-08-30,205826
Re-education: Bob Dylan,Girl from the North Country,The Freewheelin' Bob Dylan,50,1963-05-27,199573
Re-education: Bob Dylan,"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan,65,1963-05-27,217400
Re-education: Bob Dylan,Blowin' in the Wind,The Freewheelin' Bob Dylan,68,1963-05-27,165426
Re-education: Bob Dylan,To Be Alone with You,Nashville Skyline,46,1969-04-09,127600
Re-education: Bob Dylan,Tonight I'll Be Staying Here with You,Nashville Skyline,51,1969-04-09,201133
Re-education: Bob Dylan,The Lonesome Death of Hattie Carroll,The Times They Are A-Changin',37,1964-01-13,345133
Re-education: Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',66,1964-01-13,192053
Re-education: Bob Dylan,Black Crow Blues,Another Side Of Bob Dylan,28,1964-08-08,194706
Re-education: Bob Dylan,Ballad in Plain D,Another Side Of Bob Dylan,27,1964-08-08,497160
Re-education: Bob Dylan,I Shall Be Free No. 10,Another Side Of Bob Dylan,26,1964-08-08,288333
Re-education: Bob Dylan,She Belongs to Me,Bringing It All Back Home,49,1965-03-22,166706
Re-education: Bob Dylan,One Too Many Mornings,The Times They Are A-Changin',41,1964-01-13,157933
Re-education: Bob Dylan,Only a Pawn in Their Game,The Times They Are A-Changin',35,1964-01-13,209160
Re-education: Bob Dylan,Restless Farewell,The Times They Are A-Changin',31,1964-01-13,332706
Re-education: Bob Dylan,Make You Feel My Love,Time Out Of Mind,53,1997-09-30,211000
fearless,Fearless (Taylor’s Version),Fearless (Taylor's Version),70,2021-04-09,241591
fearless,Fifteen (Taylor’s Version),Fearless (Taylor's Version),67,2021-04-09,294419
fearless,Love Story (Taylor’s Version),Fearless (Taylor's Version),76,2021-04-09,235766
fearless,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),66,2021-04-09,254254
fearless,White Horse (Taylor’s Version),Fearless (Taylor's Version),66,2021-04-09,234515
fearless,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),79,2021-04-09,231124
fearless,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),64,2021-04-09,263377
fearless,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),62,2021-04-09,200575
fearless,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),64,2021-04-09,261842
fearless,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),80,2021-04-09,243136
fearless,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),68,2021-04-09,225328
fearless,The Best Day (Taylor’s Version),Fearless (Taylor's Version),61,2021-04-09,245290
fearless,Change (Taylor’s Version),Fearless (Taylor's Version),60,2021-04-09,279359
fearless,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),62,2021-04-09,237580
fearless,Untouchable (Taylor’s Version),Fearless (Taylor's Version),63,2021-04-09,312107
fearless,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),62,2021-04-09,267833
fearless,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),60,2021-04-09,237338
fearless,Superstar (Taylor’s Version),Fearless (Taylor's Version),59,2021-04-09,263865
fearless,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),64,2021-04-09,238443
fearless,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),62,2021-04-09,241822
fearless,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),61,2021-04-09,220839
fearless,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),70,2021-04-09,277591
fearless,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),62,2021-04-09,244236
fearless,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),64,2021-04-09,189495
fearless,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),64,2021-04-09,208608
fearless,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),62,2021-04-09,242157
fearless,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Mr. Perfectly Fine (Taylor’s Version) (From The Vault),71,2021-04-07,277591
fearless,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),59,2021-03-26,220839
Música do antigamente,La Musica en vérité,Legends of Benin (Analog Africa No. 5),27,2009-06-05,431733
Música do antigamente,Amante Bandido,Meus Momentos: Angela Maria,2,1994-01-01,232506
Música do antigamente,Quem É,20 Super Sucessos: Silvinho,23,2015-04-15,209032
Música do antigamente,Dale palo,"Carribean Merengues (1950 - 1960), Vol. 2",0,2011-09-02,168600
Música do antigamente,Meu Ex-Amor,Incomparável,4,1962-02-26,166426
Música do antigamente,Preparen Candela,Perlas Cubanas: Los Compadres,4,2015-04-22,175832
