,playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
33,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Land Locked Blues,Bright Eyes,"I'm Wide Awake, It's Morning",347933,"['chamber pop', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",56
34,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Lisztomania,Phoenix,Wolfgang Amadeus Phoenix,241546,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",65
35,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,40 Day Dream,Edward Sharpe & The Magnetic Zeros,Up From Below (10th Anniversary Edition) [2019 - Remaster],233586,"['double drumming', 'la indie', 'stomp and holler']",60
36,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Oxford Comma,Vampire Weekend,Vampire Weekend,195733,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
37,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Cape Cod Kwassa Kwassa,Vampire Weekend,Vampire Weekend,214706,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
38,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,The Kids Don't Stand a Chance,Vampire Weekend,Vampire Weekend,243000,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
39,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Diplomat's Son,Vampire Weekend,Contra,361373,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
40,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Young Lion,Vampire Weekend,Modern Vampires of the City,105360,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
41,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Hannah Hunt,Vampire Weekend,Modern Vampires of the City,237973,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
42,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Unbelievers,Vampire Weekend,Modern Vampires of the City,202666,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
43,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Mykonos,Fleet Foxes,First Collection 2006-2009,275306,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",63
44,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Oliver James,Fleet Foxes,Fleet Foxes,203880,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",63
45,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Helplessness Blues,Fleet Foxes,Helplessness Blues,303386,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",63
46,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Needle,Born Ruffians,Birthmarks,213870,"['canadian indie', 'indie rock', 'stomp and holler', 'toronto indie']",43
47,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Ocean's Deep,Born Ruffians,Birthmarks,167351,"['canadian indie', 'indie rock', 'stomp and holler', 'toronto indie']",43
48,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Hummingbird,Born Ruffians,"Red, Yellow & Blue",188013,"['canadian indie', 'indie rock', 'stomp and holler', 'toronto indie']",43
49,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,I Need A Life,Born Ruffians,"Red, Yellow & Blue",206626,"['canadian indie', 'indie rock', 'stomp and holler', 'toronto indie']",43
