playlist_name,artist_name,genres,artist_popularity
a love letter to little me,Jesse McCartney,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",59
a love letter to little me,Aly & AJ,"['dance pop', 'electropop', 'girl group', 'indie pop', 'indie poptimism', 'pop', 'post-teen pop']",58
a love letter to little me,Taylor Swift,['pop'],100
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Aly & AJ,"['dance pop', 'electropop', 'girl group', 'indie pop', 'indie poptimism', 'pop', 'post-teen pop']",58
a love letter to little me,Jesse McCartney,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",59
a love letter to little me,Anne Hathaway,['hollywood'],48
a love letter to little me,Taylor Swift,['pop'],100
a love letter to little me,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",75
a love letter to little me,Taylor Swift,['pop'],100
a love letter to little me,The Naked Brothers Band,,30
a love letter to little me,The Naked Brothers Band,,30
a love letter to little me,Katy Perry,"['dance pop', 'pop']",84
a love letter to little me,Fergie,"['dance pop', 'pop', 'post-teen pop', 'rap', 'urban contemporary']",68
a love letter to little me,Taylor Swift,['pop'],100
a love letter to little me,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",80
a love letter to little me,Hannah Montana,"['dance pop', 'pop', 'post-teen pop']",62
a love letter to little me,Corbin Bleu,['post-teen pop'],47
a love letter to little me,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",75
a love letter to little me,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",75
You are safe,MILCK,['la pop'],40
You are safe,Shoshana Bean,"['broadway', 'show tunes']",35
You are safe,Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
You are safe,Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
You are safe,Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
You are safe,Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
You are safe,Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
You are safe,Richie Havens,"['country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'singer-songwriter']",45
ATL w/Melissa,Sammy Rae & The Friends,"['indie pop', 'nyc pop']",54
ATL w/Melissa,JP Saxe,"['alt z', 'canadian contemporary r&b', 'neo mellow', 'pop']",67
ATL w/Melissa,Lake Street Dive,"['boston rock', 'new americana']",60
ATL w/Melissa,Luz,"['alt z', 'gen z singer-songwriter', 'irish pop']",50
ATL w/Melissa,James Blake,"['electronica', 'indie soul', 'uk alternative pop']",65
ATL w/Melissa,Eric Bellinger,"['pop r&b', 'pop rap', 'r&b', 'urban contemporary']",62
ATL w/Melissa,Hitmaka,,47
ATL w/Melissa,Clark Beckham,['talent show'],34
ATL w/Melissa,Thirdstory,['nyc pop'],44
ATL w/Melissa,Lake Street Dive,"['boston rock', 'new americana']",60
ATL w/Melissa,Black Pumas,['retro soul'],58
ATL w/Melissa,Ant Clemons,,50
ATL w/Melissa,Justin Timberlake,"['dance pop', 'pop']",78
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Brasstracks,"['indie soul', 'nyc pop']",52
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Lawrence,"['nyc pop', 'retro soul']",53
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Blaque Keyz,,34
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Christianne Jensen,,29
To listen to 8/2,Jon Bellion,['pop rap'],66
To listen to 8/2,Audra Mae,['alternative roots rock'],39
To listen to 8/2,Jon Bellion,['pop rap'],66
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Fountains Of Wayne,"['alternative rock', 'pop rock', 'power pop']",57
for dancing,Nine Days,['pop rock'],49
for dancing,Bowling For Soup,"['comic', 'pop punk', 'pop rock', 'texas pop punk']",60
for dancing,Bowling For Soup,"['comic', 'pop punk', 'pop rock', 'texas pop punk']",60
for dancing,Forever The Sickest Kids,"['electropowerpop', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']",48
for dancing,Bowling For Soup,"['comic', 'pop punk', 'pop rock', 'texas pop punk']",60
for dancing,The All-American Rejects,"['modern rock', 'pop punk', 'pop rock']",65
for dancing,The All-American Rejects,"['modern rock', 'pop punk', 'pop rock']",65
for dancing,Melting Oak,,24
for dancing,Fall Out Boy,"['emo', 'modern rock']",77
for dancing,The All-American Rejects,"['modern rock', 'pop punk', 'pop rock']",65
for dancing,Bowling For Soup,"['comic', 'pop punk', 'pop rock', 'texas pop punk']",60
for dancing,All Time Low,"['modern rock', 'pop punk', 'rock']",69
for dancing,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",75
for dancing,blink-182,"['pop punk', 'punk', 'rock', 'socal pop punk']",78
for dancing,Sum 41,"['canadian pop punk', 'canadian punk', 'punk']",70
for dancing,The Killers,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",76
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Never Shout Never,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk']",48
for dancing,Parachute,"['acoustic pop', 'charlottesville indie', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",55
for dancing,Boys Like Girls,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",60
for dancing,Taylor Swift,['pop'],100
for dancing,We The Kings,"['neo mellow', 'neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",59
for dancing,The Ready Set,"['neon pop punk', 'pixie', 'pop emo', 'pop punk', 'post-teen pop']",48
for dancing,Fall Out Boy,"['emo', 'modern rock']",77
for dancing,The All-American Rejects,"['modern rock', 'pop punk', 'pop rock']",65
for dancing,Boys Like Girls,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",60
for dancing,Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']",78
for dancing,Go Radio,"['neon pop punk', 'pop emo', 'pop punk']",44
for dancing,Plain White T's,"['neo mellow', 'pop punk', 'pop rock']",63
for dancing,Michelle Branch,"['candy pop', 'dance pop', 'neo mellow', 'pop rock', 'post-teen pop']",56
for dancing,Michelle Branch,"['candy pop', 'dance pop', 'neo mellow', 'pop rock', 'post-teen pop']",56
for dancing,Michelle Branch,"['candy pop', 'dance pop', 'neo mellow', 'pop rock', 'post-teen pop']",56
for dancing,The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",68
for dancing,Allstar Weekend,"['neon pop punk', 'post-teen pop']",38
for dancing,Allstar Weekend,"['neon pop punk', 'post-teen pop']",38
for dancing,The Killers,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",76
for dancing,The Killers,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",76
for dancing,The Killers,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",76
doin' the naughty,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",87
doin' the naughty,Electric Guest,"['alternative dance', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop']",55
doin' the naughty,James Blake,"['electronica', 'indie soul', 'uk alternative pop']",65
doin' the naughty,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93
doin' the naughty,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",87
doin' the naughty,Marcy Playground,"['alternative rock', 'pop rock', 'rock']",55
doin' the naughty,Explosions In The Sky,"['american post-rock', 'cinematic post-rock', 'instrumental post-rock', 'melancholia', 'post-rock']",50
doin' the naughty,JoJo,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",61
doin' the naughty,Eric Bellinger,"['pop r&b', 'pop rap', 'r&b', 'urban contemporary']",62
doin' the naughty,Hitmaka,,47
"dont worry, you're doing just fine",Keaton Henson,"['ambient folk', 'british singer-songwriter', 'indie folk']",49
"dont worry, you're doing just fine",Mindy Gledhill,"['indiecoustica', 'lds', 'lilith']",42
"dont worry, you're doing just fine",Passenger,"['folk-pop', 'neo mellow']",70
"dont worry, you're doing just fine",The Head And The Heart,"['folk-pop', 'indie folk', 'seattle indie', 'stomp and holler']",62
"dont worry, you're doing just fine",The Kooks,"['brighton indie', 'modern rock', 'rock']",66
"dont worry, you're doing just fine",Steel Train,,24
"dont worry, you're doing just fine",Frank Turner,"['acoustic rock', 'folk punk']",53
"dont worry, you're doing just fine",The Verve Pipe,"['pop rock', 'post-grunge']",45
"dont worry, you're doing just fine",Seth Slay,,
"dont worry, you're doing just fine",The Weepies,"['acoustic pop', 'indie folk', 'indie pop', 'lilith', 'neo mellow', 'pop rock', 'stomp and holler']",54
"dont worry, you're doing just fine",Deb Talan,"['boston folk', 'lilith']",54
"dont worry, you're doing just fine",Steve Tannen,,53
"dont worry, you're doing just fine",Young the Giant,"['modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",65
"dont worry, you're doing just fine",Vacationer,"['chillwave', 'indie rock', 'modern rock', 'philly indie', 'shimmer pop']",40
"dont worry, you're doing just fine",Born Ruffians,"['canadian indie', 'indie rock', 'stomp and holler', 'toronto indie']",44
sing me to sleep,The Weepies,"['acoustic pop', 'indie folk', 'indie pop', 'lilith', 'neo mellow', 'pop rock', 'stomp and holler']",54
sing me to sleep,Deb Talan,"['boston folk', 'lilith']",54
sing me to sleep,Steve Tannen,,53
sing me to sleep,Lewis Watson,"['indie anthem-folk', 'oxford indie']",43
sing me to sleep,Amos Lee,"['acoustic pop', 'indie folk', 'neo mellow', 'pop rock', 'stomp and holler']",60
sing me to sleep,City and Colour,"['canadian folk', 'canadian indie']",57
sing me to sleep,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",63
sing me to sleep,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",82
sing me to sleep,Johnny Cash,"['arkansas country', 'outlaw country']",73
sing me to sleep,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",75
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
Re-education: Bob Dylan,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",70
